FID,FID_1,NAME,PERMIT_NO,ADDRESS,CITY,ZIP_CODE,PHONE,CONTACT,PUMPS,CNG_DEV,SRA,X,Y
78,33,"CHEVRON #45/G&M OIL CO., #45",1757,3774 MAIN ST,SAN DIEGO,92113.000000000000000,714-375-4700,,28,0,5.000000000000000,-117.112589888000000,32.684021899800001
79,100,"7-ELEVEN #16498 /7-ELEVEN, INC",2146,103 WORTHINGTON ST,SPRING VALLEY,91977.000000000000000,464-2711,,12,0,5.000000000000000,-117.018358355000000,32.697828950300000
80,120,"7-ELEVEN #25807 /7-ELEVEN, INC",4472,1075 ELKELTON,SPRING VALLEY,91977.000000000000000,464-2711,,12,0,5.000000000000000,-117.017184478000000,32.714401367400001
81,136,ALTA VIEW UNOCAL #6918 - THURSTON CO. S,3447,2919 ALTA VIEW DR,SAN DIEGO,92139.000000000000000,858 832-9085,,26,0,5.000000000000000,-117.039188351000010,32.676284631500003
82,142,APRO LLC #25,12101,6839 IMPERIAL AVE,SAN DIEGO,92114.000000000000000,,,24,0,5.000000000000000,-117.050085928000000,32.711335950399999
83,206,ARCO-CALIFORNIA FINEST OIL/IMPERIAL ARC,11938,6311 IMPERIAL AVE,SAN DIEGO,92114.000000000000000,619-263-9512,,24,0,5.000000000000000,-117.062087553000000,32.709791515500001
84,210,"ARCO-GAS DEPOT, THE",2551,495 S MEADOWBROOK DR,SAN DIEGO,92114.000000000000000,619-267-1594,,24,0,5.000000000000000,-117.025741641000000,32.697978881799997
85,257,"CHEVRON /G&M OIL CO., #125",14032,3502 NATIONAL AVE,SAN DIEGO,92113.000000000000000,714-375-4700,,30,0,5.000000000000000,-117.118609721000000,32.696303921400002
86,297,COSTCO WHOLESALE #483,11399,650 GATEWY CENTER DR,SAN DIEGO,92102.000000000000000,619-358-2303,,24,0,5.000000000000000,-117.116108822000000,32.712719085600000
87,331,EXXON #1034/NEW WEST PETROLEUM SD2,3304,1025 EUCLID AVE,SAN DIEGO,92114.000000000000000,916-443-0890,,28,0,5.000000000000000,-117.084650677000000,32.716447530000003
88,337,EXXON /APRO,12100,235 S 47TH ST,SAN DIEGO,92102.000000000000000,,,36,0,5.000000000000000,-117.089025561000000,32.705724482800001
89,347,EXXON-IMPERIAL#1035/NEW WEST PETROLEUM,2279,5109 IMPERIAL AVE,SAN DIEGO,92114.000000000000000,916-443-0890,,28,0,5.000000000000000,-117.084604192000000,32.704327657299999
90,510,SKYLINE CONVENIENCE STORE - K.JAMIL,2324,7346 SKYLINE DR,SAN DIEGO,92114.000000000000000,266-1464,,36,0,5.000000000000000,-117.040722997000000,32.704276018300000
91,517,SUNDANCE MARKET 2,2320,4689 MARKET ST,SAN DIEGO,92102.000000000000000,262-6627,,26,0,5.000000000000000,-117.093909614000000,32.711122192399998
92,641,HOMELAND PETROLEUM - IMPERIAL,11153,4704 IMPERIAL AVE,SAN DIEGO,92102.000000000000000,619 246 5078,,40,0,5.000000000000000,-117.093231324000000,32.704448665999998
93,653,SHELL OIL PRODUCTS US #135911,2368,3890 DIVISION ST,SAN DIEGO,92113.000000000000000,602-468-6944,,24,0,5.000000000000000,-117.110273781999990,32.682976804299997
94,4,PEARSON FORD FUELS,13880,4067 EL CAJON BLVD,SAN DIEGO,92105.000000000000000,,LISA PIETILA/BUSINESS MGR,0,2,6.000000000000000,-117.107857268999990,32.755033400800002
95,103,"7-ELEVEN #20174 /7-ELEVEN, INC",2151,6571 EL CAJON BLVD,SAN DIEGO,92115.000000000000000,464-2711,,12,0,6.000000000000000,-117.056875488000000,32.766892004600003
96,116,"7-ELEVEN #24155 /7-ELEVEN, INC",2156,1702 GATEWY DR,SAN DIEGO,92105.000000000000000,464-2711,,6,0,6.000000000000000,-117.108061527999990,32.723323733500003
97,173,ARCO AM/PM -HOME,15643,4333 HOME AVE,SAN DIEGO,92105.000000000000000,619 527-4834,,40,0,6.000000000000000,-117.101668910000000,32.726838708800003
98,189,ARCO AMPM #5609,1927,6098 UNIVERSITY AVE,SAN DIEGO,92115.000000000000000,,,24,0,6.000000000000000,-117.065005703000000,32.753082353800004
99,190,ARCO AMPM #598,2911,1817 EUCLID AVE,SAN DIEGO,92105.000000000000000,,,16,0,6.000000000000000,-117.084613842000000,32.724575086999998
100,208,ARCO-COLLEGE,13163,5111 COLLEGE AVE,SAN DIEGO,92115.000000000000000,619.286.3500,,30,0,6.000000000000000,-117.069568304000000,32.771006361200001
101,251,"CHEVRON #73 -G&M OIL CO., INC.",2502,3602 EL CAJON BLVD,SAN DIEGO,92104.000000000000000,714-375-4700,,42,0,6.000000000000000,-117.115501041000000,32.755614796899998
102,254,CHEVRON #94919,1154,3359 UNIVERSITY AVE,SAN DIEGO,92104.000000000000000,510-842-9002,,30,0,6.000000000000000,-117.121568102000000,32.748625594400004
103,265,CHEVRON-CITY HEIGHTS CHEVRON,12679,4055 UNIVERSITY AVE,SAN DIEGO,92105.000000000000000,619-269-8955,,40,0,6.000000000000000,-117.107828191000000,32.748958948999999
104,317,EMERALD OIL,11633,4142 ADAMS AVE,SAN DIEGO,92116.000000000000000,619-283-2301,,18,0,6.000000000000000,-117.105978002000000,32.763568418699997
105,326,EXXON #1029/NEW WEST PETROLEUM,4750,3252 UNIVERSITY AVE,SAN DIEGO,92104.000000000000000,916-443-0890,,28,0,6.000000000000000,-117.123680204000000,32.748753909999998
106,327,EXXON #1030/NEW WEST PETROLEUM S2,2134,4357 EL CAJON BLVD,SAN DIEGO,92105.000000000000000,916-443-0890,,22,0,6.000000000000000,-117.100513394000000,32.754681126800001
107,336,EXXON #57/ WORLD OIL,3687,4415 EL CAJON BLVD,SAN DIEGO,92115.000000000000000,562-928-0100,,48,0,6.000000000000000,-117.099464174000000,32.754825089800001
108,368,EXXONMOBIL OIL CORP. #13069,4123,3927 EL CAJON BLVD,SAN DIEGO,92105.000000000000000,619-280-5089,,48,0,6.000000000000000,-117.109878495000000,32.754753972400003
109,406,LA CIMA OIL #256898,4151,5040 EL CAJON BLVD,SAN DIEGO,92115.000000000000000,265-2379,,32,0,6.000000000000000,-117.086004659000000,32.757222322099999
110,427,PEARSON FORD FUELS,13880,4067 EL CAJON BLVD,SAN DIEGO,92105.000000000000000,,LISA PIETILA/BUSINESS MGR,38,0,6.000000000000000,-117.107513040000000,32.754340293299997
111,429,PENSKE TRUCK LEASING CO.,3588,4285 CAM DEL RIO S,SAN DIEGO,92108.000000000000000,,,3,0,6.000000000000000,-117.101905262000000,32.777696072300003
112,490,SHELL OIL PRODUCTS US #135932,2125,5401 UNIVERSITY AVE,SAN DIEGO,92105.000000000000000,602-468-6944,,26,0,6.000000000000000,-117.079131108000000,32.748354961899999
113,525,TEXACO-QUICK MART,10278,3105 FAIRMONT AVE,SAN DIEGO,92105.000000000000000,619-283-2533,,14,0,6.000000000000000,-117.100680705000000,32.738659278299998
114,532,THRIFTY #9571,2675,4330 ORANGE AVE,SAN DIEGO,92105.000000000000000,,,30,0,6.000000000000000,-117.101154929000000,32.753413406800000
115,544,ULTRA GAS,15118,3276 EL CAJON BLVD,SAN DIEGO,92104.000000000000000,,,24,0,6.000000000000000,-117.123322320000000,32.755632880900002
116,558,VALERO #3741,2501,3150 ADAMS AVE,SAN DIEGO,92116.000000000000000,559-583-3298,,18,0,6.000000000000000,-117.126270354000000,32.763591589199997
117,559,VALERO #3743,14714,4405 HOME AVE,SAN DIEGO,92105.000000000000000,,,18,0,6.000000000000000,-117.099130863000000,32.728847497300002
118,586,"7-ELEVEN #19987 /7-ELEVEN, INC",2150,3603 COLLEGE AVE,SAN DIEGO,92115.000000000000000,464-2711,,12,0,6.000000000000000,-117.058809676000000,32.746189360700001
119,672,ARCO AMPM #5216,5078,6301 EL CAJON BLVD,SAN DIEGO,92115.000000000000000,,,24,0,6.000000000000000,-117.062824057000000,32.763629012199999
120,673,ARCO-AMPM #5139,5098,3296 EL CAJON BLVD,SAN DIEGO,92104.000000000000000,,,24,0,6.000000000000000,-117.122399728999990,32.755410064400003
121,1,COSD AWM STANDARDS ENFORCEMENT,17000,5555 OVERLAND AVE,SAN DIEGO,0.000000000000000,858-614-2778,,0,1,10.000000000000000,-117.130771396000000,32.833548456099997
122,6,PREMIER FOOD SERV MGT GROUP,15843,4200 RUFFIN ROAD,SAN DIEGO,92123.000000000000000,,,0,1,10.000000000000000,-117.125105387000000,32.817758322000003
123,7,SDG&E/GAS OPS/C. CRISS,10228,5488 OVERLAND AVE,SAN DIEGO,92123.000000000000000,654-1105,,0,2,10.000000000000000,-117.131182331999990,32.833373926199997
124,71,76 CONOCOPHILLIPS#255237 c/o KAYO OIL C,2011,7807 BALBOA AVE,SAN DIEGO,92111.000000000000000,858-279-8002,,24,0,10.000000000000000,-117.154673874000000,32.821403324899997
125,72,76 CONOCOPHILLIPS#255295,2415,5790 BALBOA AVE,SAN DIEGO,92111.000000000000000,492-9039,,42,0,10.000000000000000,-117.178577356999990,32.820574154299997
126,81,76 PRODUCTS,15557,3766 CLAIREMONT MESA BLVD,SAN DIEGO,92117.000000000000000,B 619 518-75,,32,0,10.000000000000000,-117.206515838000000,32.828050920400003
127,93,"7-ELEVEN #13643 /7-ELEVEN, INC",5283,6615 LINDA VISTA RD,SAN DIEGO,92111.000000000000000,279-0994,,12,0,10.000000000000000,-117.174982568999990,32.773683523899997
128,117,"7-ELEVEN #25165 /7-ELEVEN, INC",3423,3385 SANDROCK RD,SAN DIEGO,92123.000000000000000,278-7861,,12,0,10.000000000000000,-117.139754919000000,32.804747857199999
129,130,"7-ELEVEN #32606/7-ELEVEN, INC",11211,9609 AERO DR,SAN DIEGO,92123.000000000000000,858 279 2911,,36,0,10.000000000000000,-117.121939970000000,32.807894199800003
130,131,7-ELEVEN #33100,12514,4080 CONVOY ST,SAN DIEGO,92111.000000000000000,,,36,0,10.000000000000000,-117.155194949000010,32.816837325700000
131,134,A.V. AUTO REPAIR AND GAS,14537,7611 LINDA VISTA RD,SAN DIEGO,92111.000000000000000,858 560-9285,"VUONG, ANH",24,0,10.000000000000000,-117.157566479000000,32.801077427800003
132,176,ARCO AMPM #1986,13747,6130 BALBOA AVE,SAN DIEGO,92111.000000000000000,,CROSSRD PETROLEUM,12,0,10.000000000000000,-117.175697308000000,32.820642834200001
133,185,ARCO AMPM #5363,7821,3770 MURPHY CANYON RD,SAN DIEGO,92123.000000000000000,,,24,0,10.000000000000000,-117.117562011999990,32.810817513400004
134,197,ARCO AM-PM-CLAIRMONT MESA,2120,8820 CLAIREMONT MESA BLVD,SAN DIEGO,92123.000000000000000,858-492-9325,,24,0,10.000000000000000,-117.137875428000000,32.831858641499998
135,203,ARCO-BALBOA ARCO STATION,4626,7731 BALBOA AVE,SAN DIEGO,92111.000000000000000,619-541-2576,,28,0,10.000000000000000,-117.158243299000010,32.820946647500001
136,211,ARCO-GOLDEN LINA,4150,4498 CLAIREMONT MESA BLVD,SAN DIEGO,92117.000000000000000,858-270-7755,,24,0,10.000000000000000,-117.195249836000000,32.834804903500000
137,213,ARCO-McBRIDES MISSION VALLEY,2537,915 CAM DEL RIO S,SAN DIEGO,92108.000000000000000,619-607-8000,,16,0,10.000000000000000,-117.155306928000000,32.764101736699999
138,214,ARCO-MINI MART-WILD CAT 007/CALGARY EN,3738,5405 CLAIREMONT MESA BLVD,SAN DIEGO,92117.000000000000000,858-279-6661,,24,0,10.000000000000000,-117.175299241999990,32.834025287700001
139,215,ARCO-MORENA SERVICE STATION,11937,2505 MORENA BLVD,SAN DIEGO,92110.000000000000000,619-276-3177,,36,0,10.000000000000000,-117.205599518000000,32.788622487100000
140,216,ARCO-MORENA SMOG PROS,11425,1550 MORENA BLVD,SAN DIEGO,92110.000000000000000,619-275-0777,,24,0,10.000000000000000,-117.206296386000010,32.774586541600002
141,225,BOB'S GAS,1986,3377 SANDROCK RD,SAN DIEGO,92123.000000000000000,619-279-2540,,24,0,10.000000000000000,-117.139612997000000,32.804229766500001
142,248,"CHEVRON #54/G&M OIL CO., INC.",3365,8110 BALBOA AVE,SAN DIEGO,92111.000000000000000,714-375-4700,,78,0,10.000000000000000,-117.148372395000000,32.822404796100002
143,255,CHEVRON #94991,1929,2290 CAM DEL RIO NO,SAN DIEGO,92108.000000000000000,510-842-9002,,18,0,10.000000000000000,-117.140896670000000,32.771558555699997
144,264,CHEVRON-BARRY'S,11950,7070 CLAIREMONT MESA BLVD,SAN DIEGO,92111.000000000000000,858 278-3841,,42,0,10.000000000000000,-117.164251050999990,32.833055905000002
145,279,CIRCLE K - #5095,7133,4360 GENESEE AVE,SAN DIEGO,92117.000000000000000,602-728-3593,,12,0,10.000000000000000,-117.184289774000010,32.822693109100001
146,289,"CITGO-SUPER 7 #19273/7-ELEVEN, INC",2159,7801 CLAIREMONT MESA BLVD,SAN DIEGO,92111.000000000000000,465-2101,,32,0,10.000000000000000,-117.152870883000010,32.832387908000001
147,291,CLAIREMONT AUTO CARE,13579,4495 CLAIREMONT MESA BLVD,SAN DIEGO,92117.000000000000000,619-972-6566,,18,0,10.000000000000000,-117.195191106000000,32.834186606999999
148,293,CLAIREMONT EQUIPMENT RENTALS,774,4726 CONVOY ST,SAN DIEGO,92111.000000000000000,278-8351,,2,0,10.000000000000000,-117.154550967000010,32.827499416499997
149,295,COSTCO WHOLESALE #401/ATTN:LICENSING,457,4605 MORENA BLVD,SAN DIEGO,92117.000000000000000,,,32,0,10.000000000000000,-117.225399051000000,32.822348098699997
150,299,COSTCO WHOLESALE CORP. #488,11380,2345 FENTON PKWY,SAN DIEGO,92108.000000000000000,619-358-4003,,32,0,10.000000000000000,-117.128913535000000,32.779906830000002
